specification,horizon_years,return_basis,asset,n,median,mean,minimum,maximum,negative_pct
review_expanding_recomputed,3,real,Other,8,14.54238085,13.76885713,-42.83502165,62.98581177,25
review_expanding_recomputed,3,real,BusEq minus MKT,8,-0.9615403264,11.57625143,-30.98253535,60.17314222,50
review_expanding_recomputed,3,real,Chems minus MKT,8,7.437630211,6.724593424,-20.45961145,47.87376864,37.5
review_expanding_recomputed,3,real,Durbl minus MKT,8,-5.659678509,-9.891780865,-53.17992931,39.47629959,62.5
review_expanding_recomputed,3,real,Enrgy minus MKT,8,-3.75647843,-4.465367273,-84.35197042,44.72893427,62.5
review_expanding_recomputed,3,real,Hlth minus MKT,8,30.44118178,22.14531983,-20.92063717,80.03338936,37.5
review_expanding_recomputed,3,real,Manuf minus MKT,8,6.627197228,4.952188358,-25.96044952,27.58422187,37.5
review_expanding_recomputed,3,real,Money minus MKT,8,-11.13506785,-1.735646959,-31.19818489,38.4674734,62.5
review_expanding_recomputed,3,real,NoDur minus MKT,8,2.889551702,7.627727097,-27.70697628,50.16257835,37.5
review_expanding_recomputed,3,real,Other minus MKT,8,-3.996576616,-3.334317083,-31.95720206,39.27116352,62.5
review_expanding_recomputed,3,real,Shops minus MKT,8,0.4732914195,1.91318453,-38.75614946,41.87877457,50
