spec,gap_months,cutoff,rank,date,horizon,asset,real_return
original_full_sample,24,2023-12-01,2,2007-10-01,3,Telcm,-14.02964559564156
original_full_sample,24,2023-12-01,2,2007-10-01,5,MKT,-5.918353051515124
original_full_sample,24,2023-12-01,2,2007-10-01,5,CASH,-7.4274088571005255
original_full_sample,24,2023-12-01,2,2007-10-01,5,GOLD,109.00388556089835
original_full_sample,24,2023-12-01,2,2007-10-01,5,Enrgy,-6.3828033932234245
original_full_sample,24,2023-12-01,2,2007-10-01,5,BusEq,-1.3227877973180369
original_full_sample,24,2023-12-01,2,2007-10-01,5,Telcm,15.468415919422029
original_full_sample,24,2023-12-01,3,1946-06-01,1,MKT,-29.470863624789267
original_full_sample,24,2023-12-01,3,1946-06-01,1,CASH,-14.693494594759082
original_full_sample,24,2023-12-01,3,1946-06-01,1,GOLD,
original_full_sample,24,2023-12-01,3,1946-06-01,1,Enrgy,-16.38279121286971
original_full_sample,24,2023-12-01,3,1946-06-01,1,BusEq,-34.310552584718025
original_full_sample,24,2023-12-01,3,1946-06-01,1,Telcm,-30.22337520586441
original_full_sample,24,2023-12-01,3,1946-06-01,3,MKT,-32.22730350152393
original_full_sample,24,2023-12-01,3,1946-06-01,3,CASH,-20.121400983219907
original_full_sample,24,2023-12-01,3,1946-06-01,3,GOLD,
original_full_sample,24,2023-12-01,3,1946-06-01,3,Enrgy,-15.471174073007997
original_full_sample,24,2023-12-01,3,1946-06-01,3,BusEq,-36.61481540896061
original_full_sample,24,2023-12-01,3,1946-06-01,3,Telcm,-34.57915979873653
original_full_sample,24,2023-12-01,3,1946-06-01,5,MKT,6.075113641893348
original_full_sample,24,2023-12-01,3,1946-06-01,5,CASH,-24.462385008844777
original_full_sample,24,2023-12-01,3,1946-06-01,5,GOLD,
original_full_sample,24,2023-12-01,3,1946-06-01,5,Enrgy,56.692146571940924
original_full_sample,24,2023-12-01,3,1946-06-01,5,BusEq,3.010087623244706
original_full_sample,24,2023-12-01,3,1946-06-01,5,Telcm,-23.19481645469389
original_full_sample,24,2023-12-01,4,2005-09-01,1,MKT,7.803661659470773
original_full_sample,24,2023-12-01,4,2005-09-01,1,CASH,2.3578663880961415
original_full_sample,24,2023-12-01,4,2005-09-01,1,GOLD,28.490398000916507
original_full_sample,24,2023-12-01,4,2005-09-01,1,Enrgy,-2.6691888086811333
original_full_sample,24,2023-12-01,4,2005-09-01,1,BusEq,3.4450885971150313
original_full_sample,24,2023-12-01,4,2005-09-01,1,Telcm,18.752086994021134
original_full_sample,24,2023-12-01,4,2005-09-01,3,MKT,-7.825518708190904
original_full_sample,24,2023-12-01,4,2005-09-01,3,CASH,2.0737769731444367
original_full_sample,24,2023-12-01,4,2005-09-01,3,GOLD,65.39486113583628
original_full_sample,24,2023-12-01,4,2005-09-01,3,Enrgy,10.349884770435214
original_full_sample,24,2023-12-01,4,2005-09-01,3,BusEq,-7.436914838479591
original_full_sample,24,2023-12-01,4,2005-09-01,3,Telcm,-8.909965717581414
original_full_sample,24,2023-12-01,4,2005-09-01,5,MKT,-2.7847854358658553
original_full_sample,24,2023-12-01,4,2005-09-01,5,CASH,2.5090084546581792
original_full_sample,24,2023-12-01,4,2005-09-01,5,GOLD,153.6675533367387
original_full_sample,24,2023-12-01,4,2005-09-01,5,Enrgy,2.0549557561848397
original_full_sample,24,2023-12-01,4,2005-09-01,5,BusEq,12.510481704490783
original_full_sample,24,2023-12-01,4,2005-09-01,5,Telcm,10.142945411699532
