indicator,horizon_months,event,signal_month,split,signal_value,alarm,outcome,first_event_month,lead_months
curve_inverted,12,credit_onset_300,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,24,recession_onset,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,24,recession_onset,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-01,11.0
curve_inverted,24,recession_onset,1973-07,training_pre2000,-0.29000000000000004,1,1,1973-12,5.0
curve_inverted,24,recession_onset,1979-01,training_pre2000,-0.07000000000000028,1,1,1980-02,13.0
curve_inverted,24,recession_onset,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-04,7.0
curve_inverted,24,recession_onset,2006-09,holdout_2000plus,-0.08000000000000007,1,1,2008-01,16.0
curve_inverted,24,recession_onset,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
curve_inverted,24,recession_onset,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,24,recession_present_or_onset,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,24,recession_present_or_onset,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-01,11.0
curve_inverted,24,recession_present_or_onset,1973-07,training_pre2000,-0.29000000000000004,1,1,1973-12,5.0
curve_inverted,24,recession_present_or_onset,1979-01,training_pre2000,-0.07000000000000028,1,1,1980-02,13.0
curve_inverted,24,recession_present_or_onset,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-04,7.0
curve_inverted,24,recession_present_or_onset,2006-09,holdout_2000plus,-0.08000000000000007,1,1,2008-01,16.0
curve_inverted,24,recession_present_or_onset,2019-07,holdout_2000plus,-0.10000000000000009,1,1,2020-03,8.0
curve_inverted,24,recession_present_or_onset,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,24,equity_entry_loss_20,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,24,equity_entry_loss_20,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-05,15.0
curve_inverted,24,equity_entry_loss_20,1973-07,training_pre2000,-0.29000000000000004,1,1,1974-07,12.0
curve_inverted,24,equity_entry_loss_20,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,24,equity_entry_loss_20,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-09,12.0
curve_inverted,24,equity_entry_loss_20,2006-09,holdout_2000plus,-0.08000000000000007,1,0,,
curve_inverted,24,equity_entry_loss_20,2019-07,holdout_2000plus,-0.10000000000000009,1,0,,
curve_inverted,24,equity_entry_loss_20,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
curve_inverted,24,equity_peak_drawdown_20,1966-10,training_pre2000,-0.1900000000000004,1,0,,
curve_inverted,24,equity_peak_drawdown_20,1969-02,training_pre2000,-0.09999999999999964,1,1,1970-05,15.0
curve_inverted,24,equity_peak_drawdown_20,1973-07,training_pre2000,-0.29000000000000004,1,1,1974-07,12.0
curve_inverted,24,equity_peak_drawdown_20,1979-01,training_pre2000,-0.07000000000000028,1,0,,
curve_inverted,24,equity_peak_drawdown_20,2000-09,holdout_2000plus,-0.2599999999999998,1,1,2001-09,12.0
curve_inverted,24,equity_peak_drawdown_20,2006-09,holdout_2000plus,-0.08000000000000007,1,1,2008-09,24.0
curve_inverted,24,equity_peak_drawdown_20,2019-07,holdout_2000plus,-0.10000000000000009,1,0,,
curve_inverted,24,equity_peak_drawdown_20,2022-12,holdout_2000plus,-0.26000000000000023,1,0,,
