signal_month,claims_rise_20pct,sahm_050,curve_inverted,baa_level_300,baa_widening_100,nfci_positive,inflation_surge,inflation_400,cpi_yoy_change_12m
1991-01,27.927272727272733,0.6,1.3399999999999999,2.3,0.16999999999999993,0.52,6.254948535233562,6.254948535233562,1.6153462154324005
1991-02,40.79999999999999,0.77,1.87,2.09,-0.18000000000000016,0.393,5.647058823529405,5.647058823529405,0.4490390215492024
1991-03,43.933955491744435,0.97,1.9099999999999993,1.96,-0.3900000000000001,0.103,5.312500000000009,5.312500000000009,0.04934210526317262
1991-04,31.527093596059117,1.2,2.1999999999999993,1.83,-0.46999999999999975,-0.147,4.821150855365497,4.821150855365497,-0.4161650202482381
1991-05,24.599303135888494,1.3,2.389999999999999,1.77,-0.31999999999999984,-0.233,4.809930178432875,4.809930178432875,0.09831360654009025
1991-06,18.244644091223215,1.43,2.6100000000000003,1.66,-0.30000000000000004,-0.235,5.034856700232382,5.034856700232382,0.6694565385509055
1991-07,13.423728813559332,1.5,2.709999999999999,1.6,-0.22999999999999998,-0.268,4.695919938414161,4.695919938414161,0.022269656383522296
1991-08,9.83397190293742,1.53,2.6899999999999995,1.75,-0.020000000000000018,-0.413,4.367816091954024,4.367816091954024,-0.45146101647970394
1991-09,6.658291457286425,1.4,2.5700000000000003,1.94,0.28,-0.54,3.7993920972644313,3.7993920972644313,-1.9034191477154794
1991-10,1.3788968824939962,1.17,2.4300000000000006,2.02,0.41999999999999993,-0.56,3.396226415094339,3.396226415094339,-2.7736453797774674
1991-11,6.714628297362113,1.1,2.54,2.06,0.31000000000000005,-0.58,2.8485757121439192,2.8485757121439192,-3.5310096148098324
1991-12,9.532374100719432,1.0,2.8600000000000003,2.39,0.4500000000000002,-0.628,3.0665669409125185,3.0665669409125185,-3.1288262282693546
1992-01,5.27577937649879,1.0,3.0199999999999996,1.9,-0.1200000000000001,-0.663,2.980625931445613,2.980625931445613,-3.274322603787949
1992-02,6.175059952038375,0.93,3.2300000000000004,1.9,-0.16000000000000014,-0.656,2.672605790645899,2.672605790645899,-2.974453032883506
1992-03,2.9976019184652314,0.9,3.5,1.7,-0.6900000000000002,-0.653,2.8189910979228294,2.8189910979228294,-2.4935089020771795
1992-04,0.2997601918465209,0.77,3.5,1.63,-0.27,-0.682,3.189910979228472,3.189910979228472,-1.631239876137025
1992-05,0.0,0.67,3.7300000000000004,1.77,-0.1299999999999999,-0.76,3.1828275351591495,3.1828275351591495,-1.6271026432737257
1992-06,1.2084592145015005,0.63,3.76,1.86,0.16000000000000014,-0.859,3.0235988200590036,3.0235988200590036,-2.0112578801733783
1992-07,8.850645359557463,0.73,3.5999999999999996,1.97,0.3400000000000001,-0.914,3.0147058823529305,3.0147058823529305,-1.681214056061231
1992-08,0.0,0.87,3.63,2.06,0.29000000000000004,-0.936,3.1571218795888534,3.1571218795888534,-1.210694212365171
